Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/26/2026,06/26/2026,DD *DOORDASH TACOBELL,Food & Drink,Sale,-45.25,
06/25/2026,06/26/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-51.38,
06/24/2026,06/25/2026,SQ *SCOOP N FRUIT,Food & Drink,Sale,-22.81,
06/24/2026,06/25/2026,SQ *SOUTHDOWN COFFEE - OY,Food & Drink,Sale,-55.51,
06/25/2026,06/25/2026,ALL FOLKS PSYCHOLOGY,Health & Wellness,Sale,-200.00,
06/23/2026,06/25/2026,CHICK-FIL-A #05146,Food & Drink,Sale,-25.77,
06/24/2026,06/25/2026,FANDANGO    *,Entertainment,Sale,-118.08,
06/24/2026,06/25/2026,THE UPS STORE 8056,Personal,Sale,-4.33,
06/25/2026,06/25/2026,HYDROW SUBSCRIPTION,Shopping,Sale,-50.00,
06/24/2026,06/25/2026,ABOFFS PAINTS - OYSTER,Home,Sale,-8.90,
06/24/2026,06/25/2026,DD *DOORDASH FORESTAVE,Food & Drink,Sale,-22.92,
06/25/2026,06/25/2026,GOOGLE *Google One,Professional Services,Sale,-21.71,
06/24/2026,06/25/2026,ALLSTATE877-927-7268,Bills & Utilities,Sale,-21.71,
06/23/2026,06/24/2026,LOCUST VALLEY DELI,Groceries,Sale,-28.88,
06/23/2026,06/24/2026,SQ *DOUGH &amp; CO. PIZZA OYS,Food & Drink,Sale,-23.52,
06/23/2026,06/24/2026,TST* BARTACO - ROOSEVELT,Food & Drink,Sale,-82.71,
06/23/2026,06/24/2026,SQ *GRACEMED MISSISSAUGA,Health & Wellness,Sale,-2177.38,
06/23/2026,06/24/2026,DD *DOORDASH MADCHICKE,Food & Drink,Sale,-18.79,
06/22/2026,06/24/2026,H&amp;M  0042GARDEN CITY,Shopping,Sale,-72.61,
06/22/2026,06/24/2026,ZARA USA 351,Shopping,Sale,-104.42,
06/22/2026,06/24/2026,ARITZIA ROOSEVELT FLD,Shopping,Sale,-252.44,
06/24/2026,06/24/2026,PEOPLE DATA LABS,Professional Services,Sale,-1505.27,
06/23/2026,06/24/2026,MOIM SUSHI,Food & Drink,Sale,-92.25,
06/24/2026,06/24/2026,THE GOLFERS JOURNAL,Shopping,Sale,-90.00,
06/22/2026,06/23/2026,ADT SECURITY*405587055,Bills & Utilities,Sale,-58.65,
06/22/2026,06/23/2026,GULF OIL 92050011,Gas,Sale,-75.00,
06/22/2026,06/23/2026,HARBORSIDE DELI,Groceries,Sale,-15.97,
06/23/2026,06/23/2026,ANTHROPIC* CLAUDE SUB,Shopping,Sale,-217.25,
06/22/2026,06/23/2026,CVS/PHARMACY #10653,Health & Wellness,Sale,-417.89,
06/22/2026,06/23/2026,NORDSTROM #0524,Shopping,Sale,-114.04,
06/22/2026,06/23/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-72.44,
06/22/2026,06/23/2026,DOORDASH*06/21-2 ORDER,Food & Drink,Sale,-41.46,
06/21/2026,06/22/2026,DD *DOORDASH TACOBELL,Food & Drink,Sale,-28.72,
06/20/2026,06/22/2026,RALPHS ITALIAN ICES,Food & Drink,Sale,-21.41,
06/20/2026,06/22/2026,CHICK-FIL-A #03567,Food & Drink,Sale,-17.99,
06/21/2026,06/22/2026,SQ *SOUTHDOWN COFFEE - GL,Food & Drink,Sale,-31.52,
06/20/2026,06/22/2026,BOTTLE BUYS,Food & Drink,Sale,-364.78,
06/18/2026,06/21/2026,NORTHWELL PHYS. PARTNERS,Health & Wellness,Sale,-15.00,
06/19/2026,06/21/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-30.95,
06/19/2026,06/21/2026,DD *DOORDASH KIKORAMEN,Food & Drink,Sale,-35.46,
06/20/2026,06/21/2026,AMC 9640 ONLINE,Entertainment,Sale,-18.48,
06/21/2026,06/21/2026,SQ *STUDENT SUMMER STORAG,Shopping,Sale,-76.57,
06/20/2026,06/21/2026,GRACES MARKETPLACE,Groceries,Sale,-202.30,
06/20/2026,06/21/2026,CHEAP SAMS PLANT BARGAINS,Home,Sale,-252.15,
06/20/2026,06/21/2026,REGATTACENTRAL,Gifts & Donations,Sale,-275.00,
06/20/2026,06/21/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-5.08,
06/20/2026,06/21/2026,SQ *LOCUST VALLEY BAGELS,Food & Drink,Sale,-14.99,
06/20/2026,06/21/2026,DD *DOORDASH MARIOSPIZ,Food & Drink,Sale,-63.34,
06/20/2026,06/21/2026,SQ *YOUNGS FARM,Shopping,Sale,-129.84,
06/18/2026,06/19/2026,Red Mango - New Hyde P,Food & Drink,Sale,-21.27,
06/17/2026,06/18/2026,LOCUST VALLEY SCHOOLS,Education,Sale,-103.50,
06/17/2026,06/18/2026,SQ *KARMIC GRIND LOCUST V,Food & Drink,Sale,-11.59,
06/17/2026,06/18/2026,SUITE SKIN,Health & Wellness,Sale,-208.00,
06/17/2026,06/18/2026,SQ *SOUTHDOWN COFFEE - OY,Food & Drink,Sale,-40.19,
06/17/2026,06/18/2026,TST* BEACH BIRD - OYSTER,Food & Drink,Sale,-33.47,
06/15/2026,06/17/2026,NORTHWELL HLTH MY CHART,Health & Wellness,Sale,-15.00,
06/16/2026,06/17/2026,SQ *KARMIC GRIND LOCUST V,Food & Drink,Sale,-24.71,
06/16/2026,06/17/2026,EVERYTHING BUT WATER 108,Shopping,Sale,-163.22,
06/15/2026,06/17/2026,ALLEGNT AIR 24Z,Travel,Sale,-884.00,
06/16/2026,06/17/2026,SP TENNIS EXPRESS,Shopping,Sale,-175.16,
06/16/2026,06/17/2026,Nike.com,Shopping,Sale,-171.08,
06/16/2026,06/17/2026,SOBOL OYSTER BAY,Food & Drink,Sale,-10.97,
06/16/2026,06/17/2026,ROOSEVELT FIELD  NY-ANF,Shopping,Sale,-136.01,
06/17/2026,06/17/2026,ALL FOLKS PSYCHOLOGY,Health & Wellness,Sale,-200.00,
06/15/2026,06/16/2026,HEADWAY,Health & Wellness,Sale,-15.00,
06/15/2026,06/16/2026,PFLAG.ORG,Personal,Sale,-25.75,
06/15/2026,06/16/2026,SQ *KARMIC GRIND LOCUST V,Food & Drink,Sale,-4.62,
06/14/2026,06/15/2026,THE SHIRT,Shopping,Sale,-176.00,
06/14/2026,06/15/2026,SP JP BODEN SVCS INC,Shopping,Sale,-79.15,
06/14/2026,06/15/2026,SQ *BEN &amp; JERRY'S HUNTING,Food & Drink,Sale,-6.00,
06/14/2026,06/15/2026,FREEDOM BOAT CLUB LLC,Health & Wellness,Sale,-487.72,
06/14/2026,06/15/2026,DD *DOORDASH MADCHICKE,Food & Drink,Sale,-18.29,
06/14/2026,06/15/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-76.18,
06/15/2026,06/15/2026,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-26.99,
06/14/2026,06/15/2026,Uniqlo USA LLC,Shopping,Sale,-255.70,
06/13/2026,06/15/2026,BRINKMANN'S,Home,Sale,-55.98,
06/13/2026,06/14/2026,FARSZ BAR 39631,Food & Drink,Sale,-7.44,
06/13/2026,06/14/2026,FARSZ BAR 39631,Food & Drink,Sale,-7.71,
06/13/2026,06/14/2026,CVS/PHARMACY #03247,Health & Wellness,Sale,-23.85,
06/13/2026,06/14/2026,CVS/PHARMACY #03247,Health & Wellness,Sale,-76.52,
06/13/2026,06/14/2026,SP JP BODEN SVCS INC,Shopping,Sale,-295.46,
06/13/2026,06/14/2026,SP BIRKENSTOCK USA,Shopping,Sale,-385.52,
06/13/2026,06/14/2026,PAYPAL *POSITIONTRA,Travel,Sale,-151.40,
06/13/2026,06/14/2026,SQ *KARMIC GRIND LOCUST V,Food & Drink,Sale,-16.94,
06/13/2026,06/14/2026,SQ *BANCROFT JONES,Shopping,Sale,-108.62,
06/12/2026,06/14/2026,HOMEDEPOT.COM,Home,Sale,-4.86,
06/12/2026,06/14/2026,HOMEDEPOT.COM,Home,Sale,-1245.93,
06/12/2026,06/14/2026,DD *DOORDASH TACOBELL,Food & Drink,Sale,-23.39,
06/12/2026,06/14/2026,CAMPMEDS LLC,Entertainment,Sale,-100.00,
06/12/2026,06/14/2026,NYX HOTEL WARSAW,Travel,Sale,-18.01,
06/11/2026,06/14/2026,THE HOME DEPOT #8466,Home,Sale,-117.22,
06/11/2026,06/12/2026,ANTHROPIC* CLAUDE SUB,Shopping,Sale,-217.25,
06/11/2026,06/12/2026,NYX HOTEL WARSAW,Travel,Sale,-31.64,
06/11/2026,06/12/2026,SP BITTER SOUTHERNER,Shopping,Sale,-145.00,
06/11/2026,06/12/2026,SP BITTER SOUTHERNER,Shopping,Sale,-66.03,
06/11/2026,06/12/2026,LA NOTE COFFE AND WINE,Food & Drink,Sale,-5.18,
06/10/2026,06/12/2026,SIERRA #0001,Shopping,Sale,-138.07,
06/11/2026,06/12/2026,DD *DOORDASH WENDYS,Food & Drink,Sale,-27.38,
06/11/2026,06/11/2026,AUTOMATIC PAYMENT - THANK,,Payment,14135.42,
06/10/2026,06/11/2026,SQ *FOREST HILLS - LEVY,Food & Drink,Sale,-7.62,
06/10/2026,06/11/2026,SQ *FOREST HILLS STADIUM,Food & Drink,Sale,-21.78,
06/10/2026,06/11/2026,Paul 39653,Food & Drink,Sale,-10.17,
06/10/2026,06/11/2026,Paul 39653,Food & Drink,Sale,-10.47,
06/10/2026,06/11/2026,SQ *KARMIC GRIND LOCUST V,Food & Drink,Sale,-11.13,
06/10/2026,06/11/2026,NYX HOTEL WARSAW,Travel,Sale,-41.01,
06/10/2026,06/11/2026,530112 - PAUL,Food & Drink,Sale,-9.15,
06/10/2026,06/11/2026,HERITAGE FARM &amp; GARDEN I,Home,Sale,-413.29,
06/10/2026,06/11/2026,HUDSONNEWS  ST217,Shopping,Sale,-7.61,
06/09/2026,06/11/2026,The Hoxton Paris,Travel,Sale,-597.97,
06/09/2026,06/11/2026,BRIOCHE DOREE   2961742,Food & Drink,Sale,-4.39,
06/09/2026,06/11/2026,BRIOCHE DOREE   2961742,Food & Drink,Sale,-4.39,
06/10/2026,06/11/2026,SQ *SEA CLIFF SHAVE ICE,Groceries,Sale,-13.04,
06/10/2026,06/10/2026,ALL FOLKS PSYCHOLOGY,Health & Wellness,Sale,-200.00,
06/09/2026,06/10/2026,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.73,
06/09/2026,06/10/2026,MTA*LIRR ETIX TICKET,Travel,Sale,-5.25,
06/09/2026,06/10/2026,MTA*LIRR ETIX TICKET,Travel,Sale,-26.25,
06/09/2026,06/10/2026,MTA*LIRR ETIX TICKET,Travel,Sale,-11.25,
06/09/2026,06/10/2026,MTA*LIRR ETIX TICKET,Travel,Sale,-26.25,
06/08/2026,06/10/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
06/09/2026,06/10/2026,Paris Forum des Halles,Shopping,Sale,-404.46,
06/09/2026,06/10/2026,DD *DOORDASH MARIOSPIZ,Food & Drink,Sale,-40.94,
06/08/2026,06/10/2026,SHAKE SHACK CONC A SLC,Food & Drink,Sale,-18.38,
06/08/2026,06/10/2026,MTA*NYCT PAYGO,Travel,Sale,-8.75,
06/09/2026,06/10/2026,HLU*HULUPLUS,Bills & Utilities,Sale,-45.98,
06/09/2026,06/10/2026,CITIBIK*1 RIDE,Travel,Sale,-9.00,
06/07/2026,06/09/2026,TST*THE FRONT PORCH,Food & Drink,Sale,-43.95,
06/08/2026,06/09/2026,SLC NO BOUNDARIES,Shopping,Sale,-75.92,
06/08/2026,06/09/2026,PROPER CLOTH,Shopping,Sale,-1665.83,
06/08/2026,06/09/2026,BOUNCE - BOUNCE.COM,Professional Services,Sale,-10.45,
06/08/2026,06/09/2026,SQ *VAN LEEUWEN ICE CREAM,Food & Drink,Sale,-28.47,
06/08/2026,06/09/2026,BOUNCE - BOUNCE.COM,Professional Services,Sale,-10.45,
06/08/2026,06/09/2026,SQ *BLUE BOTTLE COFFEE,Food & Drink,Sale,-9.17,
06/06/2026,06/08/2026,HOTEL JUNE,Travel,Sale,-7.84,
06/06/2026,06/08/2026,HOTEL JUNE,Travel,Sale,-1030.37,
06/07/2026,06/08/2026,SP SUMMER SOL,Shopping,Sale,-197.76,
06/07/2026,06/08/2026,Peacock 060C1 PremPlus,Bills & Utilities,Sale,-16.99,
06/06/2026,06/07/2026,76 - CABAZON FUEL CENT,Gas,Sale,-14.58,
06/05/2026,06/07/2026,TST* HOTEL JUNE WEST LA -,Food & Drink,Sale,-21.77,
06/04/2026,06/07/2026,TST* PALOMA - VENICE,Food & Drink,Sale,-514.83,
06/05/2026,06/07/2026,TST*SUNLIFE ORGANICS CRO,Food & Drink,Sale,-43.00,
06/06/2026,06/07/2026,LOCUST VALLEY CHEMISTS,Health & Wellness,Sale,-20.60,
06/05/2026,06/07/2026,GLEN FLOORS,Home,Sale,-669.85,
06/06/2026,06/07/2026,WALGREENS #2626,Health & Wellness,Sale,-25.41,
06/05/2026,06/07/2026,GLEN FLOORS,Home,Sale,-5150.00,
06/04/2026,06/07/2026,WFUV,Gifts & Donations,Sale,-15.00,
06/05/2026,06/07/2026,HUEL,Groceries,Sale,-64.99,
06/06/2026,06/07/2026,STOP &amp; SHOP 0542,Groceries,Sale,-176.23,
06/06/2026,06/07/2026,DD *DOORDASH SWEETMAND,Food & Drink,Sale,-87.35,
06/07/2026,06/07/2026,GOOGLE *YouTube TV,Bills & Utilities,Sale,-82.99,
06/05/2026,06/07/2026,OXYLABS,Personal,Sale,-32.59,
06/07/2026,06/07/2026,GOOGLE *YouTube TV,Bills & Utilities,Sale,-9.99,
06/05/2026,06/07/2026,SOBOL OYSTER BAY,Food & Drink,Sale,-16.67,
06/04/2026,06/05/2026,HUDSONNEWS  ST1178,Shopping,Sale,-5.65,
06/04/2026,06/05/2026,QUEENS MKT 1964 ST1176,Shopping,Sale,-83.24,
06/04/2026,06/05/2026,SQ *RIDEYELLOW,Travel,Sale,-24.60,
06/03/2026,06/05/2026,CHICK-FIL-A #04577,Food & Drink,Sale,-10.28,
06/05/2026,06/05/2026,WF *WAYFAIR4689375351,Home,Sale,-304.13,
06/04/2026,06/05/2026,MOIM SUSHI,Food & Drink,Sale,-191.18,
06/03/2026,06/05/2026,LOCUST VALLEY PIZZA INC,Food & Drink,Sale,-15.60,
06/04/2026,06/05/2026,WALGREENS #2626,Health & Wellness,Sale,-6.76,
06/05/2026,06/05/2026,DD *DOORDASH STOPSHOP,Food & Drink,Sale,-70.09,
06/04/2026,06/05/2026,BRINKMANN'S,Home,Sale,-118.58,
06/03/2026,06/05/2026,ARLO NOMAD BODEGA,Food & Drink,Sale,-5.01,
06/03/2026,06/04/2026,LOCUST VALLEY SCHOOLS,Education,Sale,-103.50,
06/03/2026,06/04/2026,SP INDI SURF,Shopping,Sale,-236.93,
06/03/2026,06/04/2026,Nike.com,Shopping,Return,190.09,
06/03/2026,06/04/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-7.99,
06/03/2026,06/04/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-50.30,
06/03/2026,06/04/2026,DD *DOORDASH TACOBELL,Food & Drink,Sale,-46.39,
06/02/2026,06/03/2026,LOCUST VALLEY SCHOOLS,Education,Sale,-103.50,
06/01/2026,06/03/2026,SPORTIME ROSLYN,Health & Wellness,Sale,-121.00,
06/03/2026,06/03/2026,WF *WAYFAIR4686704581,Home,Sale,-215.06,
06/02/2026,06/03/2026,RUGSDIR*,Home,Sale,-1001.12,
06/03/2026,06/03/2026,ANTHROPIC* CLAUDE SUB,Shopping,Sale,-217.25,
06/02/2026,06/03/2026,SPOTHERO 844-356-8054,Travel,Sale,-55.33,
06/03/2026,06/03/2026,ALL FOLKS PSYCHOLOGY,Health & Wellness,Sale,-200.00,
06/02/2026,06/03/2026,CURB NYC TAXI,Travel,Sale,-15.66,
06/02/2026,06/03/2026,SQ *KARMIC GRIND LOCUST V,Food & Drink,Sale,-14.34,
06/01/2026,06/02/2026,SQ *YOUNGS FARM,Shopping,Sale,-138.30,
05/31/2026,06/02/2026,TST*FROTHY MONKEY - SOUT,Food & Drink,Sale,-66.06,
06/01/2026,06/02/2026,BRINKMANN'S,Home,Sale,-199.80,
06/01/2026,06/02/2026,MiniMall US Storage P,Professional Services,Sale,-105.16,
06/01/2026,06/02/2026,SQ *KARMIC GRIND LOCUST V,Food & Drink,Sale,-21.28,
06/01/2026,06/02/2026,ENEXIA SPECIALTY,Health & Wellness,Sale,-324.00,
06/01/2026,06/02/2026,ANTHROPIC* CLAUDE SUB,Shopping,Sale,-217.25,
05/31/2026,06/02/2026,MARIO'S OYSTER BAY,Food & Drink,Sale,-70.43,
05/31/2026,06/02/2026,MARIO'S OYSTER BAY,Food & Drink,Sale,-60.43,
06/01/2026,06/02/2026,WL *STEAM PURCHASE,Entertainment,Sale,-39.09,
05/31/2026,06/02/2026,WENDYS 2519,Food & Drink,Sale,-9.77,
06/01/2026,06/02/2026,GOOGLE *CLOUD 3JCM4Z,Professional Services,Sale,-1.87,
06/01/2026,06/02/2026,WWW.BRAVE.COM,Shopping,Sale,-22.19,
05/31/2026,06/01/2026,CIRCLE K # 03651,Gas,Sale,-17.29,
05/31/2026,06/01/2026,PUBLIX #1731,Groceries,Sale,-13.10,
05/31/2026,06/01/2026,DOORDASH*05/30-2 ORDER,Food & Drink,Sale,-38.73,
05/31/2026,06/01/2026,SQ *BUTLER'S FLAT,Food & Drink,Sale,-18.47,
05/31/2026,06/01/2026,EXXON GARDEN CITY SUPE,Gas,Sale,-92.06,
05/29/2026,05/31/2026,VILLAGE WINE &amp; SPIRITS,Food & Drink,Sale,-50.11,
05/29/2026,05/31/2026,UNIV-OF-SOUTH BKST,Shopping,Sale,-78.62,
05/29/2026,05/31/2026,KINLEY CHATTANOOGA,Travel,Sale,-38.59,
05/29/2026,05/31/2026,WALGREENS #6143,Health & Wellness,Sale,-16.91,
05/28/2026,05/31/2026,TST*PROVISIONS MARKET,Food & Drink,Sale,-16.12,
05/29/2026,05/31/2026,SQ *NIEDLOV'S BAKERY &amp; CA,Food & Drink,Sale,-59.57,
05/29/2026,05/31/2026,OYSTER BAY SUPERSTAR,Food & Drink,Sale,-22.39,
05/29/2026,05/31/2026,DD *DOORDASH CHIPOTLEM,Food & Drink,Sale,-58.23,
05/29/2026,05/31/2026,PEOPLE DATA LABS,Professional Services,Sale,-587.92,
05/28/2026,05/29/2026,LOCUST VALLEY CHEMISTS,Health & Wellness,Sale,-40.38,
05/28/2026,05/29/2026,WALGREENS #2626,Health & Wellness,Sale,-34.08,
05/28/2026,05/29/2026,SQ *SOUTHDOWN COFFEE - OY,Food & Drink,Sale,-17.00,
05/28/2026,05/29/2026,TST*NAPLES PIZZA - FARMI,Food & Drink,Sale,-27.91,
05/28/2026,05/29/2026,STARBUCKS 07616,Food & Drink,Sale,-12.22,
05/27/2026,05/28/2026,CAMPMEDS LLC,Entertainment,Sale,-105.00,
05/27/2026,05/28/2026,EXXON J&amp;S SERVICE STAT,Gas,Sale,-110.64,
05/27/2026,05/28/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-62.54,
05/27/2026,05/28/2026,CTLP*BERKSHIRE VENDING,Food & Drink,Sale,-2.10,
05/28/2026,05/28/2026,eBay O*03-14705-65973,Shopping,Sale,-119.35,
05/27/2026,05/28/2026,SQ *GENTLEMENS CHOP SHOP,Personal,Sale,-77.04,
05/27/2026,05/27/2026,Nike.com,Shopping,Sale,-428.64,
05/26/2026,05/27/2026,SQ *YOUNGS FARM,Shopping,Sale,-13.05,
05/26/2026,05/27/2026,HARBORSIDE DELI,Groceries,Sale,-16.66,
05/27/2026,05/27/2026,ALL FOLKS PSYCHOLOGY,Health & Wellness,Sale,-200.00,
05/26/2026,05/27/2026,PACIFIC LAWN SPRINKLERS,Home,Sale,-4127.75,
05/26/2026,05/27/2026,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-217.25,
05/26/2026,05/27/2026,DD *DOORDASH STARBUCKS,Food & Drink,Sale,-23.73,
05/26/2026,05/27/2026,PACIFIC LAWN SPRINKLERS,Home,Sale,-3421.69,
05/26/2026,05/26/2026,Payment Thank You - Web,,Payment,25000.00,
05/25/2026,05/26/2026,SP FORGED RACING,Shopping,Sale,-72.93,
05/25/2026,05/26/2026,DD *DOORDASH STARBUCKS,Food & Drink,Sale,-18.23,
05/24/2026,05/26/2026,Bowlero Mineola,Entertainment,Sale,-142.42,
05/25/2026,05/26/2026,SP TB ELECTRIC,Automotive,Sale,-37.59,
05/25/2026,05/26/2026,SP ECR PARTS,Automotive,Sale,-94.99,
05/24/2026,05/26/2026,202 LUCKY STRIKE MINEOLA,Entertainment,Sale,-52.00,
05/24/2026,05/25/2026,GRACES MARKETPLACE,Groceries,Sale,-225.56,
05/25/2026,05/25/2026,FANDANGO    *,Entertainment,Sale,-36.36,
05/24/2026,05/25/2026,AMC 0551 GLEN COVE 6,Entertainment,Sale,-54.15,
05/24/2026,05/25/2026,ZAP*ZAPPOS.COM,Shopping,Sale,-84.90,
05/24/2026,05/25/2026,THE STATIONERY STUDIO LLC,Shopping,Sale,-194.67,
05/24/2026,05/25/2026,202 LUCKY STRIKE MINEOLA,Food & Drink,Sale,-12.95,
05/24/2026,05/25/2026,DD *DOORDASH WINGSOVER,Food & Drink,Sale,-28.17,
05/24/2026,05/25/2026,DD *DOORDASH CHIPOTLEM,Food & Drink,Sale,-21.33,
05/24/2026,05/25/2026,ALLSTATE877-927-7268,Bills & Utilities,Sale,-21.71,
05/25/2026,05/25/2026,HYDROW SUBSCRIPTION,Shopping,Sale,-50.00,
05/24/2026,05/25/2026,PEOPLE DATA LABS,Professional Services,Sale,-1505.27,
05/25/2026,05/25/2026,GOOGLE *Google One,Shopping,Sale,-21.71,
05/22/2026,05/24/2026,ADT SECURITY*405587055,Bills & Utilities,Sale,-58.65,
05/22/2026,05/24/2026,STOP &amp; SHOP 0542,Groceries,Sale,-136.51,
05/23/2026,05/24/2026,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-217.25,
05/21/2026,05/22/2026,WHOLEFDS JER 10161,Groceries,Sale,-230.51,
05/20/2026,05/22/2026,DIANES,Food & Drink,Sale,-13.04,
05/21/2026,05/21/2026,WF *WAYFAIR4573696791,Home,Sale,-456.20,
05/20/2026,05/21/2026,BRINKMANN'S,Home,Sale,-123.80,
05/20/2026,05/21/2026,LITTLE FLOWER HOUSE,Shopping,Sale,-148.82,
05/20/2026,05/21/2026,SQ *PINONS PIZZA COMPANY,Food & Drink,Sale,-243.56,
05/20/2026,05/21/2026,SUITE SKIN,Health & Wellness,Sale,-208.00,
05/19/2026,05/20/2026,WILLIAMS-SONOMA.COM,Home,Sale,-760.32,
05/18/2026,05/20/2026,NORTHWELL PHYS. PARTNERS,Health & Wellness,Sale,-5.00,
05/19/2026,05/20/2026,SQ *KARMIC GRIND LOCUST V,Food & Drink,Sale,-24.00,
05/19/2026,05/20/2026,VSP*COVER CARE  LLC,Shopping,Sale,-1118.32,
05/19/2026,05/20/2026,DD *DOORDASH STOPSHOP,Food & Drink,Sale,-72.52,
05/20/2026,05/20/2026,ALL FOLKS PSYCHOLOGY,Health & Wellness,Sale,-200.00,
05/19/2026,05/20/2026,HARBORSIDE DELI,Groceries,Sale,-10.63,
05/18/2026,05/19/2026,WALGREENS #2626,Health & Wellness,Sale,-30.29,
05/18/2026,05/19/2026,BRINKMANN'S,Home,Sale,-144.98,
05/18/2026,05/19/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-148.12,
05/18/2026,05/19/2026,DD *DOORDASH TACOBELL,Food & Drink,Sale,-26.64,
05/18/2026,05/19/2026,DD *DOORDASH STOPSHOP,Food & Drink,Sale,-26.90,
05/17/2026,05/19/2026,LOCUST VALLEY PIZZA INC,Food & Drink,Sale,-13.52,
05/17/2026,05/19/2026,TST*NAPLES PIZZA - FARMI,Food & Drink,Sale,-46.08,
05/16/2026,05/18/2026,7-ELEVEN 39320,Gas,Sale,-0.63,
05/17/2026,05/18/2026,HICKS NURSERIES-RETAIL,Home,Sale,-276.83,
05/17/2026,05/18/2026,EXXON GARDEN CITY SUPE,Gas,Sale,-46.34,
05/17/2026,05/18/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-38.15,
05/16/2026,05/18/2026,WHITE HORSE COUNTRY PUB,Food & Drink,Sale,-142.08,
05/15/2026,05/17/2026,LITTLE FLOWER HOUSE,Shopping,Sale,-238.98,
05/15/2026,05/17/2026,PFLAG.ORG,Personal,Sale,-25.75,
05/15/2026,05/17/2026,PACIFIC LAWN SPRINKLERS,Home,Sale,-276.99,
05/16/2026,05/17/2026,FREEDOM BOAT CLUB LLC,Health & Wellness,Sale,-487.72,
05/16/2026,05/17/2026,HEADWAY,Health & Wellness,Sale,-15.00,
05/16/2026,05/17/2026,SUNOCO 0329823900,Gas,Sale,-112.67,
05/16/2026,05/17/2026,DD *DOORDASH TACOBELL,Food & Drink,Sale,-25.64,
05/14/2026,05/15/2026,LOCUST VALLEY SCHOOLS,Education,Sale,-103.50,
05/14/2026,05/15/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-53.25,
05/14/2026,05/15/2026,PSPT Huntington PRK,Travel,Sale,-0.70,
05/13/2026,05/15/2026,LOCUST VALLEY DENTISTS,Health & Wellness,Sale,-155.00,
05/14/2026,05/15/2026,OLD NAVY US 773,Shopping,Sale,-81.73,
05/13/2026,05/15/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
05/15/2026,05/15/2026,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-26.99,
05/13/2026,05/14/2026,LOCUST VALLEY SCHOOLS,Education,Sale,-103.50,
05/13/2026,05/14/2026,FUL*TONGA COURT PYMT,Personal,Sale,-1.00,
